os,cpu,gpu,ram,kernel,driver,cpuscheduler
ROSA Fresh Desktop 12.2,Intel Xeon CPU E5-2678 v3 @ 2.50GHz,Radeon RX 6600/6600 XT/6600M,32770052,5.19.0.xm2-1-xanmod-rosa2021.1-x86_64,4.6 Mesa 22.1.7,conservative
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
49.1618,20341,21.9753,92,48,60,2454,873,1.42031,104,3.55276,6097620034
49.1618,20341,21.9753,92,48,60,2454,873,1.42031,104,3.55276,6197678706
50.5102,19798,20.2673,88,48,57,2249,862,1.54533,104,3.55264,6297740511
50.5102,19798,20.2673,88,48,57,2249,862,1.54533,104,3.55264,6397803967
50.5102,19798,20.2673,88,48,57,2249,862,1.54533,104,3.55264,6497865284
50.5102,19798,20.2673,88,48,57,2249,862,1.54533,104,3.55264,6597930744
50.5102,19798,20.2673,88,48,57,2249,862,1.54533,104,3.55264,6697990589
61.1322,16358,15,65,48,56,1701,686,1.54533,85,3.55251,6798053076
65.5394,15258,15,65,48,56,1701,686,1.54533,85,3.55251,6898113995
194.704,5136,15,65,48,56,1701,686,1.54533,85,3.55251,6998171535
178.987,5587,15,65,48,56,1701,686,1.54533,85,3.55251,7098226027
193.087,5179,15,65,48,56,1701,686,1.54533,85,3.55251,7198284622
190.114,5260,22.6415,11,48,59,182,244,1.54551,11,3.55276,7298339481
184.298,5426,22.6415,11,48,59,182,244,1.54551,11,3.55276,7398376176
205.297,4871,22.6415,11,48,59,182,244,1.54551,11,3.55276,7498433517
212.675,4702,22.6415,11,48,59,182,244,1.54551,11,3.55276,7598493259
175.994,5682,22.6415,11,48,59,182,244,1.54551,11,3.55276,7698551818
212.766,4700,22.7723,95,48,59,2382,874,1.54556,89,3.5531,7798611342
210.571,4749,22.7723,95,48,59,2382,874,1.54556,89,3.5531,7898666283
179.759,5563,22.7723,95,48,59,2382,874,1.54556,89,3.5531,7998722895
